symbol,price,rsi,macd,macd_signal,williams_r,momentum,awesome_osc,sma_20,ema_20
EUR/USD,1.15918,64.91188054,0.001350626,0.001246943,-10.96491228,0.230867005,0.003548882,1.157102,1.157056728
GBP/USD,1.31934,62.1288067,0.001653204,0.00169266,-36.57718121,0.237803998,0.004200324,1.3175575,1.317185185
USD/ZAR,17.17061,31.27826471,-0.026910789,-0.024999857,-90.25537634,-0.335839456,-0.066212794,17.2110595,17.21027631
EUR/INR,103.49189,71.25398203,0.142672231,0.11836007,-3.808524123,0.378169228,0.379483765,103.1856875,103.1964348
EUR/GBP,0.87861,51.19217423,-8.02E-05,-0.000183084,-17.40890688,-0.007966495,-0.0001225,0.8782255,0.878433862
XAU/USD,4150.04716,56.5554973,10.23780353,9.439655551,-46.73998551,0.425890715,20.94419,4141.422801,4143.819126
BTC/USD,87634.72,52.84092839,7.886728114,-25.98183105,-26.87129675,0.333246893,-75.45976471,87294.8135,87406.54704
ETH/USD,2944.03,54.18952405,10.2913731,11.30165367,-35.08217446,0.496675178,16.25623529,2931.2795,2934.37549
SHIB/USD,8.65E-06,62.89959463,1.14E-07,1.13E-07,-38.46153846,1.525821596,2.47E-07,8.47E-06,8.51E-06
DOGE/USD,0.15169,54.47230901,0.000511242,0.000601463,-49.47526237,-0.758913968,0.000440265,0.150854,0.151167228
SOL/USD,139.11,59.76174283,0.812457064,0.751522713,-23.42064715,1.00929422,1.245058824,137.405,137.8603027
LTC/USD,84.91,49.23612786,0.062325588,0.106239083,-70.61068702,-1.071886287,-0.053794118,84.9695,85.03973317
XRP/USD,2.19125,50.08423568,-0.000253758,0.002019084,-37.53823744,-0.250823941,-0.022410088,2.1926195,2.192594693
NVDA,177.8,46.4911904,-1.987207099,-1.892160119,-40.7753051,-2.361345285,-5.591390118,179.0245105,178.8343138
AAPL,276.95001,59.11662326,2.013977259,1.919050687,-36.18129095,0.300597566,5.328068426,275.1382317,275.4905633
GOOG,323.64999,65.86441004,7.450593659,7.337444887,-26.05106819,1.978759807,16.07091669,313.7984447,314.8303448
INTC,35.81,56.76330261,0.292921912,0.265148344,-23.38983051,-0.570584903,0.792402885,35.35327,35.47556293
NIO,5.5,39.53592734,-0.04735974,-0.037219523,-75,-5.579399142,-0.063597059,5.65104,5.64292945
AMZN,229.60001,65.1519498,1.713199745,0.986767241,-11.16492718,2.05805663,6.201939872,225.0265178,226.2439494
