symbol,price,rsi,rsi_signal,macd,macd_signal,sma20,sma20_signal,ema20,ema20_signal,cci,cci_signal,adx,williams_r,stochrsi_slowk,momentum,ultimate_osc,ppo,awesome_osc,bull_bear_power
EUR/USD,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
GBP/USD,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
USD/ZAR,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
EUR/INR,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
EUR/GBP,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,21.051763,NEUTRAL,17.24676,,,,,-0.011976022,,
XAU/USD,,66.0094057,NEUTRAL,10.9281,BUY,4140.53936,NO_DATA,4143.54643,NO_DATA,429,BUY,429,,429,,,429,,
XAG/USD,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
BTC/USD,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
ETH/USD,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
SHIB/USD,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
DOGE/USD,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
SOL/USD,,429,SELL,429,BUY,429,NO_DATA,137.66885,NO_DATA,58.82453,NEUTRAL,16.30973,,,,,0.68805325,,
LTC/USD,,50.39993,NEUTRAL,0.084215029,BUY,84.9125,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
XRP/USD,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
SPX,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
NVDA,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
AAPL,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
GOOG,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,44.94259,,,,,3.72366,,
INTC,,56.16804,NEUTRAL,0.26895428,BUY,35.35327,NO_DATA,35.48167,NO_DATA,54.65977,NEUTRAL,429,,429,,,429,,
NIO,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
AMZN,,429,SELL,429,BUY,429,NO_DATA,429,NO_DATA,429,BUY,429,,429,,,429,,
