accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.5534073114395142,0.5451443791389465,1.0303535461425781,0.23076367378234863,0.4846002161502838,0.5156448483467102,0.5005711317062378,0.9274147748947144,0.38792842626571655,0.41674813628196716,0.0010000000474974513
0.5785289406776428,0.5614334344863892,0.8978123068809509,0.24644188582897186,0.49127599596977234,0.6096413135528564,0.49967995285987854,0.8320711851119995,0.0,0.0,0.0010000000474974513
0.6145896315574646,0.5695627331733704,0.8238464593887329,0.2605871558189392,0.4565316438674927,0.6096413135528564,0.5034180283546448,0.7855883240699768,0.0,0.0,0.0010000000474974513
0.6396794319152832,0.5775271654129028,0.7725960612297058,0.2713679373264313,0.4267941117286682,0.5651233792304993,0.5023396611213684,0.7620806694030762,0.4007936418056488,0.23036819696426392,0.0010000000474974513
0.6596177816390991,0.5848062634468079,0.7392183542251587,0.28418511152267456,0.41086331009864807,0.6096413135528564,0.5088732838630676,0.7240329384803772,0.0,0.0,0.0010000000474974513
0.6529080867767334,0.5996322631835938,0.7175680994987488,0.2882053256034851,0.44636625051498413,0.46362248063087463,0.5139671564102173,0.7382009625434875,0.3914523422718048,0.6744868159294128,0.0010000000474974513
0.6499825119972229,0.6404180526733398,0.6954978108406067,0.3114432096481323,0.5533303022384644,0.5223861336708069,0.5102858543395996,0.7244750261306763,0.40272262692451477,0.46269142627716064,0.0010000000474974513
0.6628931164741516,0.6901031732559204,0.6671942472457886,0.34177714586257935,0.6571081876754761,0.6105316877365112,0.511942446231842,0.7326511144638062,0.5777778029441833,0.008471814915537834,0.0010000000474974513
0.6677584648132324,0.7165861129760742,0.6414505839347839,0.35540226101875305,0.7191625237464905,0.39035868644714355,0.5149747133255005,0.9330052733421326,0.39035868644714355,1.0,0.0010000000474974513
0.6605081558227539,0.7359908819198608,0.6187911033630371,0.35717782378196716,0.7749962210655212,0.5508776307106018,0.5164012312889099,0.7557674646377563,0.4027777910232544,0.31182795763015747,0.0010000000474974513
0.6572964191436768,0.7495086193084717,0.5961077213287354,0.3603735864162445,0.8196024894714355,0.39353853464126587,0.5176898837089539,0.8703742623329163,0.3907395601272583,0.9898989796638489,0.0005000000237487257
0.6553884148597717,0.7515046000480652,0.5904276371002197,0.3588806092739105,0.8191473484039307,0.40600356459617615,0.5176035165786743,0.8440622687339783,0.3910439610481262,0.9361355304718018,0.0005000000237487257
0.6562151908874512,0.7540911436080933,0.5876584649085999,0.35967013239860535,0.8205128312110901,0.39035868644714355,0.5178786516189575,0.9378162026405334,0.39035868644714355,1.0,0.0005000000237487257
0.6586955785751343,0.7524641752243042,0.5868110656738281,0.36132314801216125,0.818692147731781,0.4631137251853943,0.5170808434486389,0.8045644164085388,0.39681118726730347,0.7217334508895874,0.0005000000237487257
0.6569784283638,0.751185417175293,0.586488664150238,0.36087533831596375,0.825671374797821,0.4040956497192383,0.518639087677002,0.8636086583137512,0.39075174927711487,0.9416748285293579,0.0005000000237487257
0.6578369736671448,0.7540178298950195,0.5818071961402893,0.3616880178451538,0.8270368576049805,0.4039684534072876,0.517411470413208,0.8541524410247803,0.3909054100513458,0.943955659866333,0.0002500000118743628
0.659204363822937,0.7549813389778137,0.5804991722106934,0.3628142178058624,0.8277955055236816,0.3934113383293152,0.5163561105728149,0.9019511938095093,0.3913876712322235,0.9980449676513672,0.0002500000118743628
0.6601901650428772,0.7548287510871887,0.5797014832496643,0.36308926343917847,0.823850691318512,0.39608243107795715,0.5151597261428833,0.9089357256889343,0.39174726605415344,0.9898989796638489,0.0002500000118743628
0.6593633890151978,0.7517023086547852,0.5840152502059937,0.36234885454177856,0.8229403495788574,0.39035868644714355,0.5193289518356323,0.9780225157737732,0.39035868644714355,1.0,0.0002500000118743628
0.6594905853271484,0.7533068656921387,0.5833422541618347,0.3622432053089142,0.8212714195251465,0.3990078866481781,0.517744779586792,0.8954334259033203,0.39227166771888733,0.9824047088623047,0.0002500000118743628
0.6590771675109863,0.7560354471206665,0.5794547200202942,0.36249834299087524,0.8259748220443726,0.3915034234523773,0.5167306065559387,0.8956500291824341,0.3907504081726074,0.9993483424186707,0.0001250000059371814
0.6608261466026306,0.7565314173698425,0.5785029530525208,0.36395806074142456,0.8270368576049805,0.40282371640205383,0.517753005027771,0.8769965767860413,0.3921464681625366,0.9631801843643188,0.0001250000059371814
0.6565014123916626,0.7555866241455078,0.580239474773407,0.3604797422885895,0.8253679275512695,0.3967183828353882,0.5178065299987793,0.8963385820388794,0.3913833498954773,0.982730507850647,0.0001250000059371814
0.6564378142356873,0.7552729845046997,0.5791201591491699,0.36120444536209106,0.8317402601242065,0.39290258288383484,0.517462432384491,0.90004563331604,0.39115995168685913,0.9977191090583801,0.0001250000059371814
0.6586002111434937,0.7565127611160278,0.5781099796295166,0.36219164729118347,0.8264299631118774,0.39035868644714355,0.5175867080688477,0.9146362543106079,0.39035868644714355,1.0,0.0001250000059371814
0.6607943773269653,0.756266713142395,0.5776933431625366,0.3641514480113983,0.8288575410842896,0.39595523476600647,0.5186541080474854,0.8803404569625854,0.3906819224357605,0.978168785572052,6.25000029685907e-05
0.659395158290863,0.7560709714889526,0.5781574249267578,0.363431453704834,0.8317402601242065,0.3957008421421051,0.5180665254592896,0.8859525322914124,0.3913436830043793,0.9869664311408997,6.25000029685907e-05
0.6587910056114197,0.7554606199264526,0.5768232345581055,0.3631192445755005,0.8329540491104126,0.39264819025993347,0.5172200202941895,0.8936285376548767,0.391198992729187,0.9993483424186707,6.25000029685907e-05
0.658663809299469,0.7577722668647766,0.5755550861358643,0.36280548572540283,0.8311333656311035,0.39849910140037537,0.5187761783599854,0.8746724724769592,0.39116182923316956,0.9719778299331665,6.25000029685907e-05
